is_offensive,transcription
1,"cone cone cone cone cone caralho morrer"
1,"lançamento aí prepara tá droga acabo lá boa fica quatro balança cozinha popular boa fica quatro sacolas cozinha vem passando série acabou cima mim deixa vir cá cima moto pegar quatro balança coisa aí joga chereca lá mercadinho coisa coisa coisa chave daqui pouco vai ver deixa vir cá vai agradecer inicial aracaju após pé bunda garupa val voz renavam policial bebê moda garupa irmãos após receber porta farofa irmãos pula pula pula pula vem brincar passar cozinhar deixar vir deixa viver joga chereca lado outro fica quatro balança cozinha troca cnh popular boa fica quatro sacolas cozinha sob pressão virá passou tv cabo cima mim deixa vir fiel passando série acaba joga chereca pular dentro casa quatro balas coisas aí joga rua mercadinho porta cozinha vim deixar abater casa tchau tchau tchau empinando bunda garupa 0 irmãos vou agradecer agradecer agradecer agradecer agradecer agradecer relacionar cada roupa irmãos paz pirapó danava roupa irmãos pula-pula fica passando tv cabo frio aí bê deixa vir atrás mim telefone aqui mim pica danado"
1,"babaca"
1,"botei tipo coisa mexilhão feio tão feio todo mundo morreu desculpa gente tão burro assim interessa entendeu alice filha preferida papai tá fazendo quê princesa érica dente ponto vista biológico pelé tudo soares piranha"
1,"rostinho princesa corpo sensual porque fabuloso pique profissional carinha tarde toda hora tá cuzinho sentar cima big fone novo coisa ninguém aguenta power power novinha violento aqui mexe power power rostinho princesa corpo sensual porque fabuloso pique profissional carinha dar viatura cuzinho sentar cima big fone novo coisa ninguém aguenta power power novinha violenta pula merda power power power power"
1,"pau rua tá celular aí vou tacar pau cara vou dando pau semana vem aí vou dando pau bunda aí vou tacar pau cara vai passar light porta porta automotiva porta rua santa quarto senta cima cama mão vira porto rua santa fe 000 chama natal ponta cabelo azul roçadeira joana tô aí vou tacar pau segunda-feira vou tacar pau voz ruim cabelo ajuda porque ruim tá ajuda tô aí vou tacar pau segunda-feira aí vou tacar pau putiane vou tacar pau bunda pau casa pau cara torta torta torta torta torta torta torta rua santa fe 000 cima cama mão viu porta rua santa fe 000 bata palma mão vira pois ruim cabelo afro ruim tá tendo ajuda tô aí vou tacar pau cara capotou ponta cabelo ajuda porque ruim tá tendo ajuda tô aí vou taca"
1,"noite cara 000 chuva indo lajes vacaria 0 farol chegando pé chegando perto chegando 000 000 000 000 00 00 bateu cagaço enviei lado vi ultrapassa uno branco escada teto adesivo tv cabo porta resisti atrás acelerei devo desistir uno passou 000 km hora beijos grupo zambon curitiba história história comum brasil vida mundo cada nele bota uns uns 000 manoel manoel manoel simples fácil compra celular entendeu consegui 00 cavalos carro xuxa carro playboy bebê reborn carro melhor né bom né quero acabar patrão bota time pink floyd agora feito r 000 atrás outro acho aconteceu pressa aconteceu dentro coração frio vou gritar canal youtube clique aqui cima suco limão passado passado"
1,"cuidado ficha pega pega daqui pega lá aqui pegar gente arruma pronta bomba cima baixo aqui tá cara sossegado fácil passo passo porta fecha gente arruma aproximou batata doce passo passo bichas lá vem lembrando vem debaixo perder chega coloca bunda gente sabe vai fazer diário oficial roubar chega peitando quase hora h joga cara quer saber porque atentamente chega nenhum realizada importa nada tô cara levando vida lá vem lembrando vem debaixo perder chega coloca bunda gente sabe vai fazer vai voltar hoje aqui avenida peço favor vai ligar pedindo ouvir voz deixa ventilador curti amor dá licença favor responde bota teste despertador crocodilo amor dá licença favor brilhante menina atrevida cabelo grande presença divina crocodilo amor dali tentar favor curte lá hora pago quebra meio moto rima coloca bunda gente sabe vai fazer ficha lá vem lembrando perder cheguei coloca bunda gente sabe vai fazer pega pega daqui pega lá cuidado vezes bicho pega pega daqui pega lá agora tarde arrumo aí apresentação lá cima baixo aqui cara demais secador max passo passo porta fecha gente arruma próximo debate cara tomate passo passo bichas lá vem lembrando vem debaixo perder joga bunda gente sabe vai fazer meio-dia pai bate cabeça pode saber chega nenhum pousada praia lá vem lembrando vem debaixo perder coloca bunda gente sabe vai fazer vai lotar aí melhorou cheguei favor vai ligar novo ouvir voz mim ventilador cochilo amor dá licença favor fica demais pai bota teste despertador crocodilo amor dá licença favor brilhante menina atrevida cabelo grande presença divina crocodilo amor dá licença favor pago quebra meio moto clarindo lembrando vem debaixo perder bunda gente sabe vai fazer pizza lá vem lembrando vem debaixo perder coloca bunda gente sabe vai fazer cuidado fichas pega pega daqui pega lá"
1,"vamos próxima pede neném sabe meninas acha linda maravilhosa acha boneca tá ligado bagulho doido entendeu música gostou venha pra caralho acha boneca parece espantalho doido ainda pega anda mão dada rolé favela ainda fica bravo alguém olhar feia caralho acho rápido né parece espantalho enganada anda mão dada rolé favela ainda fica bravo alguém olhar ter destaque papel dá mina dessa ter dois saco pra pegar mina dessa pôr cabeça outro perereca ter dois saco pegar mina dessa ter dois porco pegar mina dessa pôr cabeça outro tereza pôr cabeça outro pérola deus livre socorro venha pra caralho acha boneca parece espantalho doido ainda prega anda mão dada rolé favela ainda fica bravo alguém olhar feia caralho acho parece espantalho dois andar mão dada rolé favela ainda fica bravo alguém olhar ter dois saco pegar mina dessa ter dois saco pegar mina dessa pôr cabeça outro perereca ter dois saco pegar mina dessa ter dois saco pegando menina dessa papo cabeça outro pêra pôr cabeça outro pêra foto jurerê tá deus livre socorro próximo vamos próxima"
1,"patolino patolino vagabundo palco maxilar dificilmente encontrava download gratuito porque encher copo letra molhar bico cara comove sobrevivo 0.000 independência morte pedro cola alguém chegar aí quarto século 00 vai ter aguentar coração vagabundo oratório rapidamente união panela pressão ht acorda vagabundo agora mangaratiba oriente raikas paulo rio janeiro então liga conjunto chama fazer festa aqui ninguém presta barata vagabundo volta redonda previsão tempo rio janeiro 000 x chamar câmera filmagem estrada caetano monteiro pendotiba niterói significa vagabundo garganta pai fala ouve som mim tá tranquilão ouve opala apanhou aposta casar troca pedido sábado ainda trocado comprar mim tá assustado porque tatuado nacarado imagino podia aturar sermão sobrelevação amiga tarde coloco quarto tranquei janela segura novelas magrinho dedo apertado metrô vagabundo reynolds idade tarde passamos levando amor sempre calmo nunca banda companhia trabalho perto dormir mandou trabalho perto família manuela canta vagabundo prosa levada complicado vagabundo copiar vagabundo vagabundo leva multa comigo recife perto vagabundo oriente feita quantas vezes fizeram ontem colo três vagabundo quilômetro 00 rodovia impacto rede egito roupa download gratuito porque encher corpo olhar vídeo cara comove sobre suporte 0 nove independência imóveis ribeiro valle escola celp chegar aí mina clássico século 00 vai ter aguentar coração vagabundo rap união herói janeiro chão canta vagabundo foda bagagem oriente paulo rio janeiro chama fazer festa aqui ninguém bebe"
1,"respondeu vou fazer chacina aqui sala falou valeu responde então quer responder agora bicho vai pegar vai querer vídeo espero gostem desse vídeo vai ter 0:00 amanhã vou trazer zé droguinha xavecando cs então deixa like aí lembrando postei vídeo 00 horas muita gente viu então olha aí último vídeo tamo junto valeu negócio ouvir música gosta ouvir música chinesa esportiva gosta tipo música gosta tipo música sertanejo sertanejo sertanejo bom demais feriado música deixa louco desde vai tomar cu moleque sabe quis boca rapaz vai tomar cu porra vai tomar cursinho responde aí velho tudo bem tudo bem mano demora responder velho responde hora porta educação outros puta cara botou aí alguém quer conversar comigo legal responder vou fazer chacina aqui sala valeu responde beleza então quer responder agora bicho vai pegar caralho maluco brabo delícia ser viado vamos ser sempre boa tarde pessoal tudo bem tudo curte ouvir música ai delícia delícia jogar pula saudade casa cansado perreco tô cansado buxixo vivendo compromisso virado lá"
1,"ganha dois salários mínimos sim chamo verdadeiro milagre econômico ganha r 0000 mês faz parte brasileiro parabéns pode começar bater panela entendeu então vou tentar explicar melhor pessoa vive sozinha recebe apenas salário mínimo faixa baixa classe alta casal filhos recebe conjuntamente dois possui renda individual r 0000 portanto estarei faixa classe média casal filho recebe conjuntamente equivalente 0 salários-mínimos possui renda individual r 000 portanto estaria faixa média classe pessoa solteira filhos serve salário mínimo contar décimo terceiro férias outras porcarias estaria média classe média casal dois filhos r 000 possui renda per capita r 000 portanto estaria faixa baixa classe média casal filhos sabe conjuntamente possui renda apenas r 000 pessoa portanto estaria faixa governo chama vulnerável pois agora tenta imaginar classe dia recebe cerca r 00000 mensais encontra benefícios classificado pode porra assim fica fácil né graças milagre classe média brasileira representa metade população país lembrando 0000/0000 00 milhões brasileiros subiram classe social 0000 brasil atingiu fantástica marca 000 milhões pessoas classe média 0000 número gás 000 milhões cidadãos acordo secretaria assuntos estratégicos presidência república 0000 cerca 00 % população brasileira pertence nova classe média gráfico mostra tamanho população brasileira distribuição diferentes classes sociais universo cerca 000 milhões habitantes 00000000 pertence classe baixa 00 % pertencem classe média 00 % pertenciam classe alta gráfico mostra evolução tamanho classes brasil anos 0000 0000 governo brasil deixou ter população quase 00 % miseráveis classe baixa 0000 menos 00 % 0000 hino aumento número pessoas classe média saltou 00 % 00 % nesse período legal vivemos país classe média brasileiro bem dados abril 0000 pouco casados né então gente fazer comparação pouco justa devemos corrigir números acordo inflação período cerca 00 % atualizando valores considerado classe média família vive renda per capita 000 r 0000 mês abaixo dessa faixa cima disso tá parcial pulsos vídeos aqui canal opinião ali opiniões bem forte lamento informar existe passagem parcial oi tudo bem otário sabe possível fazer milagre retirar quase 00 milhões brasileiros miséria transformá-los classe média necessária nenhuma intervenção divina precisa milhões viagem postos menos solidariedade ninguém porque fazer basta caneta bom menos assim governo brasileiro feito acordo critérios estipulados 0000 secretaria assuntos estratégicos presidência república classe média famílias vivem renda per capita 000 r 0000 mês entendeu errado única canetada transformar milhões brasileiros miseráveis pais serve salário mínimo mês classe média pois terra cego olho rei legal vivemos país classe média brasileiro bem dados abril 0000 pouco casados né então gente ir fazer comparação pouco justa devemos corrigir números acordo inflação período cerca 00 % atualizando valores considerado classe média famílias vivem renda per capita 000 r 0000 mês abaixo dessa faixa cima disso tá dizendo parcial pulsos vídeos óbvio aqui canal opinião aliás opiniões bem fortes lamento informar existe opinião imparcial"
1,"tantantan tantantan tantantan tantantan sexta-feira vai passar filmão filme sessão clipe nego pau pau chamar alcatra cartão viu cuido falei assim banheiro cuido falei assim pau ação chamar giovana catucadão cuido falei assim chamado versão brasileira arrependa-se wi-fi hoje sexta-feira vai passar filmão sabe filme presta atenção pau ação google falei assim chamar jean-claude van damme cuido ligo falo ação chamado jatobá cuido falei assim paulo ação chama jaclo vandame dao catucadão cuido falei assim então chamado jatobá time versão brasileira cuido falei assim paulo ação chama jaclo vandame cuido pau ação chamado jatobá time versão brasileira"
1,"canal otário faz alusão nando moura gera preta pesada outubro vamos gravar vídeo respostas corridas momento falei falou tudo confere agora júnior sozinho diretamente new york nova notícia ar treta nando moura canal otário agitando internet últimos dias tudo começou vídeo canal otário supostamente alusão dudu moura colocando vídeo coxinha bandana cabeça pedindo intervenção militar chegou nando moura aqui logo fez vídeo resposta onde explicou suposto motivos quais otávio fazendo vídeo nando disse otávio convidado participar podcast início aceitou boa problema começou nando decidiu comunicar pessoas cuidam canal aí rebuliço começou alguém fumou nando otávio roubado morte pai junto youtuber maestro bogs rafa saber disso desistiu participar podcast fato aliar covarde merda segundo falou vídeo nando moura otário resolveu postar vídeo explicando tudo aconteceu nessa live segundo dando tirou fala contexto deixar somente trecho onde integrante canal seguintes palavras cadáver putrefato ainda segundo palavra cadáver referindo então presidente dilma pai nando moura sobre coxinha bandana otário inspirado nando moura porém personagem sintetizar todos delírios extrema direita conservadora 00 minutos descrição junto todos outros respeito caso continuando nando moura postou outro vídeo rebatendo vídeo resposta otário logo cara desse previsto resposta ainda posta print onde quer apostar quanto arrombado vai tentar vez famoso veja bem falando mal entendido tudo passou erro interpretação nesse vídeo pegou trecho live onde otário diz palavra malakoi zinho entender realmente referindo nando moura segundo vídeo ah várias pessoas dizendo disse macuxizinho live referindo escrito acompanhava live chat atende ainda rolando qualquer momento podem ser respostas outros lá descrição haverá limpar vídeos mencionados discussão mãe falei resolveu falar afinal mencionado vídeo inclusive apareceu dizendo gostar música explicou porquê disse ainda deixou claro nando moura sim boa pessoa inclusive convidou brigarem juntos contra estado economia todos vídeos sobre caso estarão aqui embaixo descrição agora entender toda história concluir caso lado deixa aqui comentário aí som new york treta vai chegando fim ficamos aqui falou canal otário faz alusão nando moura gera treta pesada dobro ramos gravar vídeo respostas correndo momento falei falou tudo confere agora roupa jeans ganhou sozinho diretamente new york treta nova notícia ar treta nando moura canal otário agitando internet últimos dias tudo começou vídeo canal otário supostamente fez alusão nando moura colocando vídeo coxinha bandana cabeça pedindo intervenção militar amei vídeo chegou nando moura aqui logo fiz vídeo resposta onde explicou suposto motivos quais otávio fazendo vídeo nando disse otávio convidado participar podcast início aceitou boa problema começou nando decidiu comunicar pessoas cuidam canal aí rebuliço começou alguém formou otávio roubado morte pai juntamente youtuber maestro bogs saber disso desistiu participar podcast fato aliar tarde merda segundo falou vídeo nando moura resolveu postar vídeo explicando tudo aconteceu nessa live segundo dando tirou fala texto somente texto integrante canal seguintes palavras cadáver putrefato ainda segundo palavra cadáver referindo então presidente dilma pai nando moura sobre coxinha bandana otávio disse inspirado nando moura porém personagem sintetizar todos delírios extrema direita conservadora book 00 minutos descrição juntamente todos outros respeito caso continuando nando moura postou outro vídeo rebatendo vídeo resposta otário ter previsto resposta ainda posso print onde diz quer apostar quanto arrombado vai tentar vez famoso veja bem falando entendido tudo passou erro interpretação nesse vídeo pegou trecho live onde otávio diz palavra malakoi zinho entender realmente referindo nando moura segundo vídeo otário várias pessoas dizendo disse macuxizinho live referindo escrito acompanhava live chat atende ainda rolando qualquer momento podem surgir respostas ambos lados descrição haverá links vídeos mencionados aqui discussão falei resolveu falar afinal mencionado vídeo nando moura inclusive apareceu dizendo gostar música explicou porquê disse ainda deixou claro nando moura sim boa pessoa inclusive convidou abrigarem juntos contra estado economia todos vídeos sobre caso estarão aqui embaixo descrição agora entender história concluir caso lado deixa aqui comentários new york treta vai chegando fim ficamos aqui falou"
1,"carregadinho macaé mês dezembro mês mangas né daqui pouquinho antes natal tá manga madura aí podem ver mangas né qualidade assim hoje canal vou apresentar manga pouco diferente né repórter especial cada horizontais imagens cedidas internet vai mostrar manga pouco diferente né gente acha viu tudo mundo viu alguns boatos algumas correntes redes sociais acha mentira repórter comprovou realmente existe manga vão ver agora toda vez pensam vamos falar açaí urucum bacuri lá celular algumas peculiaridades aqui exemplo navegando falou gente embaixo pé manga buceta né nome assim porque parece ideia delícia bom cara bom dou tá época sendo umas linguada bacana adoro amo pé causa nome irmã buceta porra gosta coisa rápida vi reportagem sinceramente achei mentira agora especializada enviada especial canal digamos assim pastel encontrou fico assim meio espero nada né enfim bem garra cabelo né dente faz faz sentido né entende né abandona inscreva canal daquele lá compra vídeos aqui ninguém brincadeira hoje mostrei amanda pouco curar sabe amanhã mostro outra coisa né vídeos aqui ninguém brincadeira hoje mostrei amanda pouco curar sabe amanhã mostro outra coisa né"
1,"toda família rapariga tirar celular tava fazendo compra mercado boca falar vida bem boba vergonha rapariga"
1,"comprar produtos loja vou sequestrar família aí manos quebrada itaquera vai tomar cu assisti jogo bosta desses desde palmeiras língua segunda divisão 0000 puta pariu deu vontade enfiar faca olho jogar ácido sulfúrico cima ter assistir maluco cadáver fazendo 00 minutos sono praticamente nenhuma coletividade gente esforça vir aqui trazer vídeo massa comentando melhores momentos sendo melhores momentos nessa partida merda talvez chance perdida menino jogou faz gol time filho puta maicon irmão gêmeo gabriel sido melhor lance cássio boneco posto fez apenas defesa durante 00 minutos variar romero uber desespero acabou desesperando vez liga calma precisão hora finalizar kkk jogo tão bosta juiz tava tentando ajudar puxar contra-ataque dia osso zero primeiro jogo quartas final paulistão semana vem estaremos lá itaquera tá apoiando coringa contra botafogo ribeirão afrodescendente"
1,"tá bom tá bom tá bom aham piranha piranha piranha piranha piranha piranha piranha buceta sendo autópsia brisa deixa leve diretamente wechat outras metendo bala ficar mal pau pau putiane capital bravinha capital pagar cartão beber água rapidinho calma aí calma aí rapaziada pode vir geral código geral tá pelada jataí jataí feira brás viviane vanessa vereador bacalhau retalho gosta sair gosta maltratar gosta sair gosta pau né pode vir tá tá bom tá bom tá bom piranha piranha piranha piranha piranha piranha piranha piranha piranha w000 planta precisa leva tirar mente entrego outras pede outro bala ficar mal pau pau putiane capital bravinha capital bravinha cantão rapidinho amém aí rapaziada pode vir gerar código geral tá pelada jataí jataí piranha bacalhau bacalhau viviane vanessa vereador bacalhau vai gostar bastante bastante bastante"
1,"habilite mulher mulher gosta homem dinheiro resolver onda presta atenção botar cordão ouro iphone 0 faturamento sapatinho casa quer conquistar tá bem digo ser malhado metendo dedo querer ofender pedidos natura marikota quero escutar tudo juro encosta exponencial curuzu botar anel cordão ouro iphone 0 pato momento sapatinho carmen steffens quer conquistar saber digo ter dinheiro vender pedidos vida importa vamos botar chapéu cordão ouro iphone 0 quatro momentos sapatinho carmen steffens quer conquistar outra vez digo pedido encosta história puta cartão bota cima dinheiro cartão cima cima joga cima transilvânia transilvânia transilvânia transilvânia joga cima joga cima joga cima olha cima cima cima aí lúcia divinópolis"
1,"imobiliária destaque extravasar quer correr tarde danilo mandou conversar porque tira verdade mandou chamar porque tá vontade continuar chata abatimento repasse lajota batman peru bate rebate celular j0 piru repartições acabar piru bate rebate pirueta duas piruetas 0 piruetas 0 piruetas capotaria paola tarde ia chamar fica atividades sbt chamado vagina fica vontade rua josé roberto pirueta duas etapas pirueta duas piruetas rebate pirueta duas pirueta pirueta quatro pirueta atibaia pirueta acho portaria vai rolar tarde quer ir trabalhar baile chama tá igual enfeitinho fácil bater pirueta foto bate pirueta boa tarde filho bati bati bati carro logo acho acho putaria valor tarde verdade bateu pirulito bate bate pirulito bate bate pirulito bate bate pirulito bate bate bate rebate acho portaria vai rolar tarde quer ir trabalhar bairro chama saiba street fighter pirulito bate bate pirulito bate bate bate bate bate bate bate piru logo rebate acho vai rolar manda abraço aí clube razão destaque quer ir trabalhar quer poder tarde amigo vou conversar porque tira verdade mandou chamar porque vontade varjota abatimento repasse lajota batman peru bate rebate pirueta duas piruetas 0 piruetas bate útero bate rebate pirueta duas etapas pirueta quatro pirueta acho putaria valor tarde queria chamar fica atividade sbt chama pode ir lá ficar vontade pirueta idade resgate bate bate pirulito bate bate pirulito bate bate bate bate bate bate bate bate acho portaria vai rolar tarde quer ir trabalhar poder bairro chama saiba street fighter pirulito bate bate pirulito bate bate bate bate bate bate bate aqui piru logo rebate acho vai rolar coisa"
1,"experiência religiosa tomei messenger messenger mandar número meninas bosta bem linda amor linda volta meio-dia chama queria ter amor vc saber gosta desligar resenha obras alguns tobogã tá ligado fiquei tão legal assim boa deixa dormir sinto cansada vídeo pegar blusa sonho vídeo tava doidão aqui chão derrubei frio agora tomei cytotec ninguém poder poder dá mim ficar tão ruim gostam ruim língua amarga adoro importa então desculpa troca som ser ruim responde pergunta realmente curte dia quero ouvir hino 00 melodia bota bota outro kit marca outro print gravar outro clipe black eyed acordou quero logo quiser acreditar acredite vídeo aí aí vamos tão jovem responde mim vez baixar dizer médico josé santana motinha web web web quero ver quero ver quero ver vídeo grande"
1,"vem rebolando toda fogo tábata novinha bem perna aberta joão quer transar novinha tá 00 escondido cair rápido jogar nessa bunda bunda baile foto palmeiras foto palmeiras vem rebolando toda folga trabalhada novinha perna aberta coisa quer transar 0 abril 0 ano sentar escondido cair sapato sai pé vai novinha jogando bunda pau palmeiras"
