is_offensive,description
1,"progressistas repudiamos todas formas motivos violência . *encerrem campanha * , senhor 00 anos ferido gravidade , realistas * acabou jair bolsonaro* antes comentar : leia descrição inteira favor . inscreva-se ser notificado novas lives neste canal , correto grandioso amigo ? @ duard twitter , siga : URL discordar poderá comentar , aberto boa conversação . idiota anti ciência , existe grande probabilidade gente possa conversar boa . negacionistas ciência história , tratados respostas padronizadas . grandes parceiros abaixo prof . thiago morais - URL adão bispo - URL duard mineiro - URL eduardo lima - URL gláucio gonzales - URL sem_neurose - URL merlin trevas - URL imprestável - URL dayvison - URL eufemisticamente zoeiro - URL considere rir guru extrema direita brasileira , grande astrólogo olavo carvalho URL canal anti : asno jair bolsonaro político vagabundo nunca fez nada extremista terrorista cristão nando moura astrólogo olavo carvalho chame olavo carvalho filosofo pois apenas astrólogo filosofo : URL nando moura canal propaga ódio causa mal estar , piores internet : URL esquerdista comunista , progressista . anti conservadores , anti neo liberais anti direita conservadora . vote bolsonaro 0000 , cara pode tornar presidente , bolsonaro político burro vagabundo : URL *basta olharmos rj sp vermos quão falaciosa família vagabundos bolsonaro : viu algum vídeo falando mal pcc comando vermelho ? né ? * verá , pois apenas personagens , vagabundos , adoram mamar tetas estado . sinceramente acredita asno jair bolsonaro condições debater qualquer candidato ? talvez assunto cu / piroca / gays levi fidelix possam ter algo falar , agora , brasil amigo , asno jair bolsolnaro nada sabe . *bolsonaro continuação velha política , corrupta ineficiente , chega família mafiosa corrupta bolsonaro * . bolsonaro filhos maiores vagabundos brasil , nunca trabalharam iniciativa privada vivem mamar tetas estadão enquanto pregam estado mínimo seguidores idiotas . *sabemos vagabundo asno jair bolsonaro apelido asno lista furnas , onde recebia mensalinho cerca 00 mil reais mês * , juntamente amigo aécio neves ( dizia gostaria ser vice ) . votar qualquer integrante gangue mafiosa família bolsonaro votar vagabundos qque trabalham apenas mamam tetas estado , correcto grandioso amigo ? provado asno jair bolsonaro corrupto pois * recebeu 000 mil reais jbs ainda gagueja tentar explicar * * bolsonaro = corrupto merda * . jbs , lista furnas , nepotismo , uso indevido verba gabinente , planos explodir adutora guandu * ser honesto * ? *não venha aqui canal papinho sardinha , sabemos bem mbl adoradores fake news * . canal existe rir malucos extrema direita . comentar , favor deixar marcado comentário # hashtag # mineiro ser identificado # inscrito canal ."
1,"obrigado amigos apoiadores canal * daniela canalini * marcus frederico guimarães cardoso rosa * kleiton alves ferreira * fabrício souza silva * luciana ferreira macedo * douglas guimarães silva ajude canal : * apoia.se : URL * itaú - ag : 0000 conta 00000-0 * paypal - EMAIL participe grupo whatsapp : URL grupo facebook : URL leia descrição vídeo twitter : URL instagram : URL snapchat : adaobispobr grupo facebook : URL * grandes parceiros abaixo * comédias críticas eufemisticamente zoeiro - URL maestro bogs - URL pastor galdino - URL culinária animal - URL * território político história gláucio gonzales - URL eduardo lima - URL mineiro - URL sem_neurose # semneurose - URL defensores moralidade virtude - URL prof . thiago morais - URL samuel borelli - URL clayson - URL blog cidadania - URL obrigado assistir"
1,"lolicon morrer"
1,"facebook : URL facebook : URL facebook : URL divulgue música canal funk . e-mail contato : EMAIL download/converter : URL"
1,"tá sabendo hoje abre temporada caras pau ? gente vai provar todo mundo igual ! # lucianagenro00000 # nãoserendenãosevende URL"
1,?
1,"vinha boa , babaca começou forçar caminho jogando moto pra cima mim , aguardava carros frente abrir corredor , local existe afunilamento pista . sozinho ia dar merda , garupa , deixei pra lá . qualquer dia acha procurando ."
1,"importe estar mal feito . ( título diz tudo , então venha reclamar comentários ) invejosos vão dizer copiei ytpoopbr000 ."
1,"opção download 0 : URL opção download 0 : URL cantor : mc pp vs música : xereca pisca produção : dj tavares ano : 0000 gênero : funk use gr0 : URL contrate show : ( 00 ) 0000-0000 acesse site : URL videofonograma produto original próprio . cópia reenvio resultará grandes precauções canal youtube exclusão . original fortaleça funk ser profissional sempre ."
1,"mc ferreira - louco selvagem produção : djay w divulgue trabalho conosco , contato : EMAIL ( 00 ) 00000-0000 inscreva-se canal fonte funk oficial ouça todos lançamentos : URL baixe todos lançamentos : URL ouça todos lançamentos playlist oficial : URL divulgue trabalho conosco , contato : EMAIL ( 00 ) 00000-0000 inscreva-se canal : URL f n t d f u n k f i c i l"
1,"inscrevam , ativem notificações cliquem gostei . divulgue trabalho conosco : EMAIL inscrevam novo canal : URL artista - louco refri música - tacando pau puta ano - 0000"
1,"facebook : URL twitter : URL compre caneca pb URL use cupom desconto canecadopb desconto exclusivo inscritos : ) alguma sugestão vídeo ? deixa comentários : )"
1,"ficha técnica composição : clara crocodilo produção : terex"
1,"inscreva-se canal gr0 music fique dentro lançamentos funk : URL baixe musica : URL artista : dynho alves musica : feia pra caralho produção : dj nene mpc instagram : @ dynhoalves criação motion/direção arte : aires designer baixe todos lançamentos : URL videofonograma produto original próprio gravadora editora . cópia reenvio resultará grandes implicações canal youtube exclusão . gr0 explode/gr0 music @ gr0explodeofc ano 0000 ."
1,"whindersson nunes pronunciou apos ser chamado corno ! esposa luísa sonza compareceram festival milkshake , aconteceu neste sábado ( 00 ) paulo . chamou atenção presença roupa usada jovem , transparente deixava bumbum todo ."
1,"inscreva-se canal : URL instagram : URL twitter : URL facebook : URL twitch : URL contato profissional : EMAIL"
1,"oriente - vagabundo foda [ clipe oficial ] feat . pedro qualy , haikaiss , self provoked . faixa novo album yinyang . produção musical : bruno silva direção : thiago guedert ouça spotify : URL letra : self provoked you n't like but your girlfriend , she bump my music when she taking showers , not caring if you like it or not i can just pause , but i rather continue , when i talk shit about you yo she does n't defend you , ok ok you make good money and work an honest job , and you like to call bum cause i have n't blown up , and you talk shit about my tattoos but she likes them , you brag about your money but homie she ai n't excited , i write this with the intension to prove that we are different , yo soy vagabundo but listen homeboy i am gifted , i smell like weed and i 'm not rich and i got homies who paint , and that 's the reason why you hating cause your girl can relate , you 're caught up on your high class views and forgot what life 's about , and you 're trying to brainwash her so she can go the same route , oh baby you crazy but we living the fast life , you can wife her after tho just make sure she act right refrão : oriente , niterói , rio janeiro , liga 000 chama pra fazer festa aqui ninguém presta assim gostam vagabundo foda , cambada maconhe # . oriente , niterói , rio janeiro , liga 000 chama fazer festa aqui ninguém presta assim gostam vagabundo foda , foda . chino : pai fala pra nao ouvir som pra mim ta tranquilão ouve q falo quer fazer aposta casar troca visita sabado ainda pede trocado pra comprar alcool pra mim vc ta assustado porque tatuado mal encarado magrin nunca aturar sermao sogro , patrao vida estrada piloto embalo oriente doutor tranquem janelas segurem donzelas magrin eh terror festa começou vagabundo reinou cidade cidade passamos levando amor sempre calmo nunca preocupado vou fazendo trabalho pra deus mandou ( 0x ) refrão : oriente , niterói , rio janeiro , liga 000 chama pra fazer festa aqui ninguém presta assim gostam vagabundo foda , cambada maconhe # . oriente , niterói , rio janeiro , liga 000 chama fazer festa aqui ninguém presta assim gostam vagabundo foda , foda . qualy levada complicado , vagabundo assusta tentar copiar ai vagabundo frusta . vagabundo foda , dorme leva multa comigo morre , mic vagabundo surta . haikaiss oriente , pensa , conta quantas vezes vim 000 , 00 , colo 00 vagabundo passa intacto , pacto vagabundo causa impacto rede . destruí , roubava , download gratuito porque encher copo , pro alheio molhar bico . cara comove , sobrevivo suporte sete nove , independência morte . chino , nissin , pedro qualy cola self p . , chega ai , assina classic . século xxi , vai ter aguentar contraste onde vagabundo mora umas horas rap nasce ! próximo prol , união praxe ! oriente , niterói , rio janeiro , liga 000 chama fazer festa aqui ninguém presta assim gostam vagabundo foda , cambada maconhe # . oriente , haikaiss , paulo , rio janeiro , liga gordo chuck chama pra fazer festa . aqui ninguém presta assim gostam vagabundo foda , foda . -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- stream download : spotify : URL itunes : URL opções : URL -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- ficha técnica videoclipe : videoclipe : vagabundo fod @ ano : 0000 direção : thiago guedert roteiro : mateus cardoso / chino produtor executivo : raphael xexeo direção fotografia câmera : thiago guedert edição finalização : thiago guedert imagens drone : adam ilustração : URL -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- links oficiais : site : URL produtos oficiais oriente : URL facebook : URL instagram : URL google plus : URL twitter : URL"
1,"leia descrição então rapaziada video hoje trago ai video uns caras cantando musica ai delicia ser viado , resolvi cs , jeito cantam bem engraçado mano espero gostem 0 mil likes 0 dia trago zé droguinha xavecando novinha csgo amanhã então explode like tmj postei outro video 00 hrs quiserem ir lá ver podem ir tmj noix valeeeeu insta : URL inscreve canal ative sino ! tmj # 000k steam : URL discord : URL @ neworder lembre-se humildade acima tudo !"
1,"vc ganha 000 0000 reais mensais , classe média brasileira ! parabéns , agora vc pode bater panela ; - ) doações URL torne-se patrão ; - ) URL acesse site URL lojinhas canal otário bonecos , chaveiros , adesivos URL novas camisetas canecas URL _ _ _ fontes links úteis : classe média brasil ganha r 000 r 0.000 mês URL assuntos estratégicos : social renda ; classe média brasileira número 0 , 0000 . 00,0 milhões brasileiros ingressaram nova classe média 0000 0000 URL perguntas respostas sobre definição classe média URL ganha deputado federal ? ! URL brasil 000 milhões pessoas classe média 0000 URL cartilha : vozes classe média . ouvindo população constroem políticas públicas adequadas ( edição : marco zero brasília , 00 setembro 0000 ) URL _ _ _ agradecimentos especiais patrões : _ _ _ mr . hitch miguel meister eduardo leal gabriel pinheiro sandro t. minutos pisíquicos daniel lacerda lourenço sérgio póvoa alan cruz obrigado , patrões ! apoio financeiro canal através patreon , mês abril 0000 , sendo fundamental manter canal vivo fazer vídeos ! _ _ _ curta canal otário facebook facebook URL siga canal otário twitter twitter URL siga canal otário instagram instagram URL inscreva-se 0 canais youtube : canal 0 : principal URL canal 0 : palavrão URL canal 0 : responde URL _ _ _ royalty free music by URL sound effects by URL"
1,"mc neguinho itr - cú perigo , pau ação ( prod . rf0 nvi ) lançamento 0000 inscreva - canal fique dentro melhores lançamentos ! ! ative notificações dispositivo móvel . fique atualizado : URL contato / divulgue trabalho : URL"
1,"treta nando moura canal otário , confira tudo rolou dois youtubers . delação fim mundo , renan lava-jato ( vídeo deu início treta ) : URL canal otário ( otários ) ( resposta nando moura ) : URL nando moura mentindo # nandomouramentiroso ( resposta otário ) : URL canal otario - sabia covarde ( tréplica nando moura ) : URL respondendo nando moura 0 - canal otário ( resposta mamãefalei ) : URL treta nando moura vs canal otário vs pirula ( contente comentando treta ) : URL ps : vídeo repostado . -- scalelab network daniel gerente parceiros , saiba : URL saiba sobre scalelab aqui : URL canal descurtindo : URL grupo informantes ny treta : URL fique dentro canal : URL URL fique dentro daniel verçosa ( bom sentido ) : URL URL URL snapchat : danielcardoso00 resumo : todas redes sociais danielcardoso00 fique dentro matheus verçosa ( bom sentido ) : URL URL URL snapchat : math_cv contato profissional : EMAIL new york treta canal notícias envolve mundo youtube ."
1,"conheça é0uartafeira : URL matheus yurley responde nando moura diz bosta ! matheus hwang confessa plagiou canais menores , pede desculpas hateado público . mateus hwang : melhor músico youtube ( botão select ) : URL youtuber pego roubando vídeos ( goularte ) : URL mateus hwang - melhor ( ) pianista ( canal plagiado ) : URL youtuber chamou mentiroso ! ( matheus hwang ) : URL plagiei youtuber ! ( matheus hwang ) : URL -- contato profissional : EMAIL grupo informantes ny treta : URL fique dentro canal : URL URL fique dentro daniel verçosa ( bom sentido ) : face URL twitter URL insta URL snap danielcardoso00 resumo : todas redes sociais danielcardoso00 fique dentro matheus verçosa ( bom sentido ) : face URL twitter URL insta URL snap math_cv new york treta canal notícias envolve mundo youtube ."
1,"delicia !"
1,"inscreva-se : URL facebook : URL twitter : URL instagram : URL compre loja : URL"
1,"naiara azevedo nome rapariga clipe oficial low"
1,"vídeo inacreditável captado equipe operação risco ."
1,"loja : URL canal secundário : URL encontro inscritos playball pompéia dia 0 abril , domingo ( conhecido daqui pouco ) horário : 00h - 00h endereço : av . nicolas boer , 00 - pompeia , paulo - sp , 00000-000 instagram : URL twitter : URL facebook : URL snap : pqfasiso e-mail pra contato : EMAIL twitter corinthians mil grau URL instagram corinthians mil grau URL"
1,"deixei gostei inscreva-se canal fique atualizado : URL informações clique mostrar URL URL URL artist artista : musica : produção : ano : lançamento 0000 download : cole link vídeo aqui URL musica original grupo whatzap link : URL psychodelize fanpage : URL whatsapp : ( 00 ) 000000000 picture link URL envie produção : EMAIL questões direitos autorais contato conosco : EMAIL"
1,"acompanhe lançamentos : URL download - 0shared : URL prod : dj bruninho beat grave vídeo clipe / divulgue musica canal contato facebook : mano piu redes sociais : facebook : URL instagram : URL twitter : URL soundcloud : URL todos direitos reservados ."
1,"facebook : URL instagram : URL favor , esqueça avaliar vídeo clicando gostei ajuda . pode compartilhar mundo todo , claro , adicionar favoritos . significaria mim fizesse . obrigado apoio continue sendo maravilhoso ( ) ! -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- atenção ! ! ! [ direitos autorais ] compositores/bandas/cantores / acordo vídeo , enviar e-mail : EMAIL 00 000000000 whatsapp solicitação remoção , música removida imediatamente exceção alguma . contato 00 00000000 whatssap baixar cd : la furia 0000 música nova : xereca luxo exclusividade : rizzon divulgações download : URL"
1,"curta pagina : URL curta pagina oficial baile : URL siga soundcloud fique dentro lançamentos : URL baixe musica : URL"
1,"fan page : URL facebook : URL inscrevam-se deixem like odeon 0000 ( c ) todos direitos reservados produção : kaique silver criação lyric video : odeon 00 lyric 's videofonograma produto original próprio artista juntamente editora gravadora odeon"
1,"- ficha técnica - beat : URL voz , letra , mix , master arte lucas a.r.t . EMAIL tomei lean ( achei bosta ) zoas . crianças , usem drogas . adultos , considerem usar . p.s . : canto sobre q quiser , favor , comente merda . ; ) twitter instagram : @ ucasberto - letra - [ refrão ] tomei lean achei bosta rapper gosta ? [ verso 0 ] cês falsifica receita pra ficar sono ? yeah tomei mó copão lean tlg , fiquei ? méh tão legal assim porra deixa dormir sinto cansado incomodado , pior brisa vi , tava doidão chão derrubei refri agora tomei trap gang gang fenergan , codein , purple drank , lean dá outro copo pra mim joga merda privada brisa ruim , sensação ruim gostão ruim , língua amarga [ refrão ] tomei lean achei bosta rapper gosta ? [ verso 0 ] foda-se drogas , notas , xotas nada disso importa pra mim dá desculpa ter droga drogar pro som ser ruim chapa , responde pra mim perguntinha pra chapar lean cê realmente curte quer tá modinha ? querem hype , hype , hype , hype cadê hip , lok ? cês hype-hop banca pop , rip idiota bad trip foda , disk 000 trote bota , bota outro beat marca outro feat , grava outro clipe lek like : oh my lord , holy shit ! bitch , stop , time smite : god aí bitch , cospe engole , quer engov ? rap game , devolve tigre acordou ; kelloggs foda-se acreditou , esnobes ajudou jobs plano funcionou , steve jobs ainda tão jovens ( 0x ) [ finalização ] tomei lean achei bosta chapa , responde pra mim perguntinha pra chapar lean cê realmente curte quer tá modinha ? querem hype , hype , hype , hype ( 0x )"
1,"the noite danilo gentili traz muitos entrevistados interessantes alto índice piadas minuto , abordando fatos ( menos ) relevantes dia . atração conta léo lins , murilo couto , assistente palco juliana , além irreverente locutor diguinho coruja . trilha sonora fica conta banda ultraje rigor comentários inteligentes cortesia vocalista roger moreira , requisitado quadro homem qi 000 toda vez surge algum problema ."
1,"divulgue música canal : ( 00 ) 000000000 whatsapp inscreva-se canal ative notificações perder nenhum lançamento . instagram : URL facebook : URL"
1,"link download : URL"
1,"homens casados próprio pau . saúde doença , riqueza pobreza , sempre estará lá pro der vier . problema toda relação precisa desabafo , dr . normalmente acontece hora boa velha mijada . exceto divorciada lea t. elenco : antonio tabet victor leal making of : URL baixe games : google play : URL apple store : URL camisas : URL livro : URL app android : URL app iphone - URL app windows phone : URL canal porta fundos . lançamos vídeos todas segundas , quintas sábados 00h ."
1,"inscreva-se canal ative notificações ficar sempre atualizado ( ) . to copo mão bundão chão single/produzido : acke beats adquira base , faça orçamento ! siga-me : instagram : @ ackebeats faça beat , contato faça orçamento ! email : EMAIL whatsapp ( 00 ) 00000-0000 encomende caricatura : @ ihcarts faça orçamento : ( 00 ) 0000-0000 acke beatmaker 0000"
1,"inscrevam - canal ative notificações perder nenhum lançamento ! contato shows jc sheik ( 000 ) 00000-0000 / wpp . soundcloud URL facebook URL twitter URL instagram URL curtam página URL"
1,"conheça canal surreal : URL nando moura resolve responder magal , diretor porta fundos , twitter músico mandou magal enfiar alguma coisa c # , ? assistindo edição saber -- contato profissional : EMAIL scalelab network daniel gerente parceiros , saiba : URL saiba sobre scalelab aqui : URL grupo informantes ny treta : URL fique dentro canal : URL URL fique dentro daniel verçosa ( bom sentido ) : face URL twitter URL insta URL snap danielcardoso00 resumo : todas redes sociais danielcardoso00 fique dentro matheus verçosa ( bom sentido ) : face URL twitter URL insta URL snap math_cv new york treta canal notícias envolve mundo youtube ."
1,"clique inscrever-se sino notificação ficar atualizado lançamentos canal mc pikachu - vem sentando piroca , vem quicando piroca ( dj sadall ) inscreva-se canal participe promoções ! URL URL URL URL URL URL URL URL URL baixe aplicativo : URL download direto : URL soundcloud : URL pagina : URL instagram : URL facebook : URL twitter : URL - - - - - - - - - - - - - - - - - - perca nenhum lançamento , inscreva-se canal mantenha-se atualizado melhores funk toca melhores bailes favela . musicas exclusivas ! - - - - - - - - - - - - tags ignore : mc lan - rabetão ( kondzilla ) mc lan mc wm - amiga vou pegar lararara - melhor sentando ( dj will cria lan rw ) 0000 mc wm mc lan - grave faz bum ( kondzilla ) mc lan mc fioti - tcheleka diria ladrão ( web lyric oficial ) ( prod . fioti nvi ) mc g00 - cara bacana ( kondzilla ) mc g00 - putaria começou ( video clipe ) jorgin deejhay mc fezinho patatyy - passinho maloka ( dj dn caxias ) lançamento 0000 mc gw mc 0belo - cavucada - musica nova 0000 ( dj 0b ) lançamento 0000 mc gw mc 0belo - passinho maloka ( dj 0b ) lançamento 0000 mc gw mc 0belo - cavucada - passinho maloka ( dj 0b , dj wallace nk th detona ) mc g00 - diferente ( vídeo clipe oficial ) dj kevin mc léo baixada - classe top ( kondzilla ) mc davi mc pedrinho - 0 mentes ( kondzilla ) mc lustosa - patricinha ( video clipe oficial ) dj r0 mc hariel - fuga ( kondzilla ) mc livinho - tudo bom ( kondzilla ) mc pp vs , mc kevin mc nego blue - adrenalina ( vídeo clipe oficial ) dj teta mc kevin - veracruz ( kondzilla ) mc menor vg - conto pescador ( video clipe oficial ) mc rodolfinho - vai brasil ( videoclipe oficial ) mc kekel - meiota ( vídeo clipe oficial ) pereradj mc pedrinho - amizade falsa ( dj r0 ) lançamento oficial 0000 mc pikachu - lá barraco ( clipe oficial ) mc pedrinho - solta grave ( kondzilla ) mc kekel mc neguin brc - toque meiota ( ( djguhmix ) ) mc brinquedo mc hariel - conteúdo ( video clipe oficial ) jorgin deejhay mc brisola - senta pros trafica ( vídeo clipe oficial ) dj lk mc kevin - amassa placa ( jorgin deejhay ) lançamento oficial 0000 mc charles mc davi - viva la vida ( video clipe oficial ) mc menor vg - fogo inveja ( kondzilla ) mc livinho - nega ( lyric video ) perera dj mc hariel mc pedrinho - 0m toque ( lyric vídeo ) mc kevinho - 0m ( kondzilla - webclipe ) lucas lucco feat . mc bin laden - tá tranquilo , tá favorável ( clipe oficial ) mc pp vs mc joão - cap placa ( kondzilla ) mc don juan - corre ( videoclipe oficial ) mc kevin mc kevinho - joga pra frente ( vídeo clipe oficial 0000 ) mc menor vg mc pedrinho - papel mau ( prévia ) ( jorgin deejhay ) mc bin laden - aham , pode pá ( lyric vídeo oficial ) set dj piu - fogo teto ( tom produções ) part . tati zaqui , bin laden , maromba , don juan-dj r0 - tropa r0 ( kondzilla ) detonafunk , vs lança , djvitor souza.detonafunk , mc livinho , mc pedrinho , mc guime , mc rodolfinho , mc pikachu , mc brinquedo , roca roca , andre mendes , funk , kondzilla , clipe , hiiits , hiiitsoficial , johnatanvieira , natiiinho , mc tavinho , dj dael , mc bin laden , mc 0k , louco cachorreira , daleste , mc leo baixada , z0 , lançamento 0000 , musica nova 0000 , dj tezinho , thdetonafunk , tatizaqui , mc nandinho , mc novinho praça , mc luan , mc kauan , mc k0 , mc kelvinho , legendafunk , canalfunk , andrezzadetona , helipa , baile helipa , mc ruzika , mc menor vg , mc juninho jr , tom produções , mc pocahontas , mc roba cena , mc dimenor dr , mc pikeno menor , mc 's samuka nego , mc 's bw , mc nando dk , mc caique ds , mc hariel , mc dudu , mc dede , mc 's princesa plebeia , mc pedrinho vai bunda , marcone , fonte funk , murilo azevedo , detona funk musica , z0video , putaria , dj biel rox , download funk , detona funk , legenda funk lançamentos lançamento musica nova lançamento funk set funk montagem musicas novas funk ostentação funk putaria funk sp funk rj mc dj lançamento funk [ lançamento ] [ montagem ] [ musica nova ] melhores musicas mc magrinho mc pedrinho mc romantico mc guime mc pikachu mc brinquedo mc 0k mc pedrinho mc leo baixada mc livinho mc davi mc kevin mc ph mc ig mc menor vg melhores musicas funk dançando funk novinha dançando funk melhores musicas ano set funk baile helipa fluxo helipa baile marcone fluxo marcone tocadas musicas novas funk mc pedrinho jr mc dede , canal funk ,"
1,"contatos shows : 00 00000-0000 facebook : URL twitter : URL instagram : URL youtube : URL vídeo : renanfest URL URL"
1,"se-inscreva canal ative notificações clicando sino lado fique atualizado opção download 0 twitter : URL instagram : fael.detona facebook : URL artista : música : ano : 0000 gênero : funk , brazil : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : 0000 humildade prevalece ."
1,"matheus yurley - tapa bunda , bunda puta tchaca tchaca butchaca ( gr0 filmes ) dj tezinho download direto - URL ative notificações dispositivo móvel artista : matheus yurley música : tapa bunda , bunda puta tchaca tchaca butchaca produção : dj tezinho gênero : funk , music ano : 0000 URL - grupo inscritos letra : tags zé droguinha , matheus yurley , bonde ta formado , novo corolla , sentindo avontade , dj rb , mc kapela , ze droguinha 0 , matheus yurley ei amor , matheus yurley então toma , trollei namorada ( chamei pra sair joguei piscina ) , terminando namoro dia namorados , matheus yurley desgostei , trollei namorado outro cama ( deu merda ) . matheus yurley menina perfeita part . stefan , trollei namora surpreendeu ( perdi tudo ) , mariana reagindo clipe novo - zé droguinha 0 - apanhei , trollei namorado suicídio banheira ( chorou ) , trollei namorado exorcisando sexta feita , trollei namorado fingindo estar possuída ( deu merda ) , fiz tour nova mansão , tatuei nome ex braço ! ! trollei namorada , 00/00 quer , prefiro mandela , matheus yurley - tapa bunda , bunda puta ,"
